titulo,texto
Cobrança indevida,"A claro negativou meu nome, quando eu entro em contato com a empresa, me informam que é sobre uma divida no combo, porém eu nunca tive combo da net, liguei no 0800 que me informaram e não consta nenhuma divida no combo em meu CPF. Os atendentem não sabem resolver o problema, ficam transferindo para vários setores e nada resolvem"
Empresa lixo,"Entrei em contato com a empresa Net claro para cancelar no dia 26/09/2020. O atendente não cancelou me deixou meia hora esperando. Quando foi dia 9/10/2020 recebi um e-mail falando que minha fatura estava em aberto. Achei estranho pois eu já havia cancelado. Liguei novamente, mas para minha surpresa nao cancelou. Falei com outro atendende me explicou que não tinha sido cancelado, ela providenciou o cancelamento e me passou o protocolo e a gravação da ligação anterior por e-mail. Mandaram uma nova fatura com o valor revisado e fui orientada a pagar. E depois o cancelamento já estaria tudo certo. O modem já foi até retirado. E hoje no dia 09/11/2020 chegou outra fatura no meu email pra eu pagar. Que beleza né ?!... Vou reclamar no procon também. Porque isso é ridículo.
Sem contar no email falso de uma pessoa se passando pela empresa e me mandando boleto. Eu já abrir um b.o sobre isso.
Quero que cancele, tirei meu nome do cadastro de vcs. Eu já cancelei já paguei o valor sobre o cancelamento."
Claro inseriu dívida no Serasa sem qualquer informativo,"Olhei hoje no meu Serasa, ao qual sempre acompanho e nunca sequer continha dívidas no meu cpf. Hoje me deparei com uma dívida no valor de R$ 206,67 referente à março de 2020 sendo que não havia qualquer dívida minha com a empresa. Solicito verificação e esclarecimentos."
Propaganda enganosa do plano controle,"Não estou conseguindo acessar o facebook, incluso no plano controle, no valor de $65,00, e a informação que recebo é que não tenho créditos ou pacote de internet. Já fiz a reclamação na Claro ( protocolo 2020928106969), e recebi a informação da colaboradora que no momento o sistema estava indisponível, pediu desculpas pelo transtorno. No entanto até o momento não foi solucionado. Se o problema permanecer, quero o direito de cancelamento do contrato, sem ônus de multa, pois o plano que contratei me dá este direito de uso de redes sociais ilimitado."
Ligações abusivas,"O número (31) 25235351 da operadora CLARO tem me ligado umas 10x por dia. Quando atendia uma pessoa do call center falava ''alô'' e desligava. Agora que bloqueei o número eles me deixam incontáveis recados na caixa postal apenas com um ''alô''. Faz mais de 6 meses que não sou cliente dessa empresa e não autorizo ligações de tele-marketing para o meu número, estou farta de ficar apagando os seus recados na minha caixa postal. Não tenho o menor interesse em voltar para essa empresa e mesmo se tivesse não voltaria após esse descaso com as pessoas."
Tentativa de cancelamento não efetuada,"No dia 08/10 entrei em contato com a operadora para cancelamento do meu plano de internet móvel sem fidelidade. Neste dia informei os dados da linha e do CPF para localização do número e a mesma não foi efetuada. Entrei então novamente em contato por uma linha diferente eletrônica e fiz um atendimento com um atendente. Solicitei o numero da linha vinculada ao plano de internet móvel e o cancelamento da mesma porém, a atendente me informou que não seria possível realizá-lo devido a problemas do sistema no dia, pediu que eu retornasse solicitando novamente e gerou protocolo do atendimento. Após uma semana tentei novamente o atendimento e novamente não consegui realizar o atendimento virtual pois o sistema não identificava meu CPF ou o número da linha vinculada ao plano.
Hoje, 09/11 consegui efetuar o cancelamento porém, acabei por arcar com o custo do plano durante o mês de outubro sem utilização do mesmo, solicitei estorno do valor da fatura referentes a outubro. A atendente me disse que só solicitaria com um número de protocolo de meu ultimo atendimento (05/10), identifiquei o mesmo e ela não encontrou no seu sistema (protocolo 2020850119801). Explorei possibilidade do mesmo ter sido aberto no sistema para linha em que havia os contatado em 05/10 pois, como disse, o sistema não identificava meus dados ou os da linha a qual desejava cancelar e, realmente, este havia sido o ocorrido. Assim, a atendente encontrou o protocolo e me disse que, no mesmo, não havia nenhuma descrição sobre minha solicitação de cancelamento e que além, do protocolo constar sem descrição e como encerrado, havia sido aberto para uma linha diferente da que eu desejava cancelar não poderia ser utilizado para uma solicitação de estorno. O protocolo gerado do atendimento para cancelamento é o de número 2020954009119.
Finalizei o cancelamento da linha porém sem a possibilidade de solicitação de estorno do período no qual o plano não foi utilizado."
Solicitação não atendida,"Já reclamei varias vezes por vários problemas, na qual a empresa sempre trás a mesma informação, solicita ligações e enviam as que são selecionada pela empresa, porém eu não recebo as ligações que entro em contato com a central.
Já reclamei de aplicativo que não resolve nada, problema com a interent que nem se fala.
Ligações ao realizar, informa que estou sem saldo ou não completa.
Fico com linha sem sinal com frequências todos os dias, e a operadora diz que é normal.
Me informa que eu preciso ir até a loja, e ao chegar na loja eu não consigo realizar a troca do chip, pois sou orientado a abrir uma reclamação, pois isso seria problema técnico.
Não enviam o chip, por que eu não tenho um plano de tv, interent ou telefone fixo.
A pontuação do claro clube é zerada sem eu mesmo saber o motivo.
Solicito que seja zerada a fatura, pois a meses sem a solução e não fazem.
E sou cobrado por um serviço com vários problemas.
Entretanto o meu posicionamento é que seja corrigido todas as falhas, pois caso contrario irei abrir reclamações todas as semanas.
Pois a empresa não resolve nada!"
Claroflex,"Tenho o plano claro flex onde diz que instagram e facebook são ilimitado, podendo usar a vontade sem descontar do pacote. Porém meu pacote acabou e não consigo utilizar esses aplicativos que segundo eles conseguiria. Liguei na central caaa funcionário fala uma coisa, entrei em contato via chat levei quase 1 hora para ser atendido. Se não resolverem meu problema irei cancelar o plano."
COBRANÇA INDEVIDA,"VERIFIQUEI NO SITE DA SERASA CONSUMIDOR QUE HOUVE UMA REDUÇÃO DE 25 PONTOS EM MEU SCORE EM RAZÃO DE UMA COBRANÇA DA CLARO. HÁ ALGUM TEMPO ATRAS JA TIVE UMA COBRANÇA DA CLARO QUE PAGUEI PARA EVITAR NEGATIVAÇÃO, MAS AGORA APARECEU OUTRA COBRANÇA SENDO QUE EU NÃO POSSUO QUALQUER PRODUTO CLARO EM MEU NOME. AGORA, ACHEI MUITO DESAFORO PAGAR OUTRA COBRANÇA, MESMO SENDO UM VALOR BAIXO R$34,10 COM O CONTRATO NUMERO 03122819795. TENTEI CONTATAR A CLARO NO 08002088282, TELEFONE INFORMADO PELO1052, POREM, NESSE CANAL DE VENDAS A LIGAÇÃO FICA CLARA, AUDIVEL E O ATENDENTE É EDUCADO E SOLICITO (A PRINCIPIO). NO MENCIONADO 0800 , A LIGAÇÃO É INAUDIVEL, PICOTA E CAI ENQUANTO VC FALA. UM TREMENDO DESRESPEITO. PRECISO QUE A CLARO ME INFORME DO QUE SE TRATA TAL COBRANÇA COM URGENCIA, POIS, PREJUDICA MEU SCORE, SENDO QUE, ESTOU EM VIAS DE OBTER UM FINANCIAMENTO IMOBILIARIO. TEREI QUE ENTRAR COM UMA AÇÃO JUDICIAL POR CONTA DE R$34,10?"
Combo Claro Residencial mais Now - Não é verdade.,"Fizemos uma assinatura Claro Residencial com a promoção now por um ano, sendo que já fizemos varios contatos e não resolveram o nosso problema, alegando problemas dos mais diversos tipos (respostas mecânicas e não orgânicas) e não resolveram.

Estou entrando com a mesma conta (email e senha) da ""Minha Claro Residencial"" no serviço de Streaming ""Now"" administrado pela claro e a mesma informa que o ""Usuario e senha são inválidos"", já fizemos todos os procedimentos que a central de telemarketing e ouvidoria deles para tentar resolver nosso problema sem sucesso, por mais que nos comunicamos de maneira clara, literal e muito bem explicado, a central deles respondem de forma mecanizada e sequer tentam reportar esse chamado para alguma área mais orgânica para resolução do nosso simples problema de ser resolvido.

Agora vem a pergunta, será que com tanta inteligencia artificial estamos nos tornando uma especie de seres binários que recebem informações padronizadas para repasse para seus clientes?"
FALTA DE RESPEITO COM O CONSUMIDOR,"Comprei um iPhone XR pela Claro no dia 27/10/2020 e, por erro deles, o endereço estava errado, então o pedido voltou para o remetente (em São Paulo, sendo que sou de Niterói). Desde então tento contato todos os dias e não recebo NENHUM tipo de retorno, sendo que o celular está PAGO. Preciso urgentemente do celular e não sei mais o que fazer!!! Já liguei pelo menos dez vezes, já saí de casa três vezes para ir a uma loja física em meio a uma pandemia e NADA, cada setor empurra para outro e o cliente fica completamente desamparado!!!"
Mesmo após a quitação da divida e reclamação junto a claro a mesma não retira a pendencia do Serasa,Mesmo após a quitação da divida e reclamação junto a claro a mesma não retira a pendencia do Serasa
Dois anos de cobrança indevida sem solução,"No dia 22 de dezembro de 2018 fiz um pedido, pela internet, de um chip claro controle. Número do pedido: #C1315796. No entanto, a solicitação tinha a previsão de 7 dias para a entrega, e como eu tinha urgência, eu desisti do pedido. A solicitação de cancelamento ocorreu dia 24 de dezembro, protocolo #2018990153634, protocolo este que na central me disseram que não existe e, claro, eu devo ter inventado. Continuando, no dia 28 de dezembro de 2018, recebi um e-mail confirmando a ativação do plano, inclusive com geração de fatura. Dessa forma, percebi que minha solicitação não foi atendida mesmo ela sendo feita dentro dos 7 dias que tenho direito para cancelar pedidos realizados pela Internet. Hoje, no dia 9 de novembro de 2020, entrei no site da serasa para conferir o programa #Serasa limpa nome e me deparei com a notícia de que a #Claro estaria me cobrando a fatura que eu havia cancelado há quase 2 anos e confirmaram para mim que o cancelamento havia sido realizado. Foi então que eu liguei para a central e depois de #1h30min de espera, fui atendido e o atendente Juan me disse que lá constava realmente a cobrança de uma fatura e a taxa de ativação do plano. Acontece que eu cancelei dois dias após a solicitação, devolvi o chip para o carteiro devolver para a origem, como a central me recomendou e eu fiquei tranquilo pensando que não seria cobrado por isso. O mais impressionante é que passaram-se quase 2 anos e a claro #não me respondeu. Eu solicito que essas cobranças sejam canceladas sob pena de eu procurar o procon e exigir meus direitos que estão sendo negados agora. O protocolo da ligação do dia 9 de novembro é 2020953964042. Aguardo resposta urgente."
"Cancelei meu plano, porém continua a descontar","Realizei o cancelamento do meu plano controle ( número telefone
(11) 994125947) no dia 16/10, protocolo: 2020885069098 , porém veio descontado em débito automático o valor total da fatura, entrei em contato e foi me informado que em até 24 horas seria reembolsada ( 2020954035681 ), porém já fazem alguns dias e nada foi resolvido, já entrei em contato algumas vezes e apenas me informar que o sistema está com falhas e que me retornaria em até 2 horas porém nunca recebi nenhum contato, desejo informações e resolução do meu problema."
Pacote de dados,"Dia 30/10 fiz uma recarga no valor de R$20.00. Foi descontado R$ 7.00 do sos e no dia 01/ 11 , sem fazer nenhuma ligação, meus créditos desapareceram.
Ontem dia 8/11 fiz uma solicitação do sos recarga e hoje pela manhã não pude usar em.situacao de emergência. Liguei 3x para o atendimento da claro, informam sempre que o sistema esta indisponível fazendo descaso com a nossa solicitação. Informam que não está no sistema a informação dos créditos utilizados. É tamanha falta de respeito pois não temos o controle do que usamos. A claro vai descontando serviços não solicitados. Não tenho nem como mudar o número pois meu numero é vinculado a bancos, apps, emails e redes sociais. Complicado ficar a mercê dessa situação! Protocolo Vc ligou para a Claro em 09/11/20 as 12:03 e o numero do seu protocolo eh 2020952196350 / 37."
Oferecem upgrade e aplicam multa,"Recebi uma ligação da operadora Claro me oferecendo upgrade. Comentei que meu planoainda não tinha 1 ano e que poderia altera-lo. Prontamente a atendendente me disse que não haveria problema pois a empresa que estava oferecendo, então aceitei. Agora 3meses depois não estou conseguindo fazer ligações. Após contato com a operadora me informaram que o upgrade gerou multa e eu não paguei. Minhas faturas são todas débito automático e nunca recebi comunicação ou fatura informando sobre multa. Fui surpreendida.....e o pior não conseguem sequer me enviar o boleto.....é muita incompetência e pouco caso com o cliente."
Portabilidade realizada sem envio de chip,"Gostaria de expressar a minha indignação com o serviço prestado pela Claro.
Na data de 21/10/2020 realizei portabilidade para Claro via whatsapp.
Até o presente momento (09/11/2020) não recebi o chip no meu endereço, sendo que me foi informado que o chip seria entregue dentro de 10 dias úteis após a solicitação. Quando da venda me foi informado que a portabilidade ocorreria em até 3 dias úteis APÓS o recebimento do chip. A Claro realizou a portabilidade ANTES da entrega do chip, portanto fiquei sem linha para realizar ligações e estou sendo extremamente prejudicada pois viajei para Florianópolis e estou impossibilitada de fazer e receber ligações. Fiz questão de manter esse número, pois ele é divulgado comercialmente, ou seja, dependo desse número para minha atividade profissional.
Fui pessoalmente a uma loja da Claro no centro de Florianópolis e fui muito mal atendida. A atendente me informou que não poderia fazer nada para me ajudar, que ela só poderia gerar um novo chip para linha com DDD 48.
No dia 09/11/2020 liguei para a central de atendimento (protocolo 2020953621275), expliquei toda situação para a atendente Jéssica que por sua vez prestou um péssimo atendimento, me deixando ainda mais insatisfeita com a Claro.
Questionei à Jéssica se seria possível gerar um protocolo para que eu conseguisse retirar um chip com o meu DDD 11 aqui em Florianópolis, ela disse que não seria possível. Questionei se seria possível reenviar o chip com minha linha ao endereço em que estou aqui, ela disse que também não seria possível. Questionei se seria possível minha mãe retirar o chip com minha linha em alguma loja de SP, para que posteriormente me enviasse via Sedex, a Jéssica disse que não seria possível. Questionei se seria possível que eles reenviassem o chip para o endereço do meu cadastro, em São Paulo, para que minha mãe me enviasse, pois só irei para SP no fim do mês. Absurdamente a Jéssica sugeriu que eu retornasse para a operadora anterior (Nextel). Falei com a supervisora da Jéssica, Marissol, que me passou as mesmas impossibilidades. Falei que queria reclamar e a ligação retornou para a atendente Jéssica registrar a reclamação. Quando pedi para ela registrar minha reclamação aparentou descaso (que pode ser verificado com escuta da ligação). Tive que pedir que ela repetisse meu número de contato, pois percebi que ela não tinha anotado corretamente e ela disse que já tinha lançado no sistema. Tive que insistir para ela verificar novamente. Registrei reclamação com a Jéssica (protocolo 2020953739177). Quando pedi para ela me informar quais informações da reclamação foram lançadas ela simplesmente disse que não teria como me ajudar e não teria mais o que fazer e desligou na minha cara. Meu sentimento é de impotência e revolta. Como uma empresa tem a coragem de atender tão mal uma cliente? Me senti desrespeitada. Tentei realizar a reclamação pelo site da Claro (Minha Claro Móvel) conforme orienta o site da Claro, mas nem isso consigo realizar, pois para sincronizar meus produtos (linha celular) ao cadastro preciso informar o código de validação que chega por SMS, logo, se eu não tenho o chip, eu não ativei a linha eu não acesso a Minha Claro Móvel e não reclamo pelo site. Amanhã precisarei ligar novamente na Claro, pois pelo site não poderei reclamar, para passar a Ouvidoria essa situação e espero que uma solução seja apresentada. Acho um pouco inexplicável uma empresa que atende nacionalmente não poder resolver meu problema em estado diferente do meu DDD. Aliás a empresa Claro Informa em seu site o seguinte:

A troca do Claro Chip é realizada nas lojas Claro, onde o mesmo foi adquirido. Caso não tenha comprado em loja própria, não será possível efetuar a troca gratuitamente. Neste caso, o pedido será encaminhado para o setor responsável por efetuar o ajuste na conta/créditos do cliente.

Para ter direito à troca gratuita, é preciso ir a uma loja Claro com o aparelho, a nota fiscal e o chip, que somente será substituído sem custo se tiver apresentado defeito em até 7 dias após a compra.

Nas situações de mau uso, perda, [Editado pelo Reclame Aqui], troca de versão e digitação incorreta de senha (PUK), a troca pode ser feita em qualquer loja Claro ou agente autorizado, porém com cobrança de valor.

Ou seja, ela informa em seu site que a troca do chip pode ser feita em qualquer loja Claro. Em momento algum tem asterisco informando que o atendimento só será feito no estado do DDD.

Aguardo retorno da empresa Claro com pedido de desculpas pelo péssimo atendimento, pelo descaso com o consumidor e com solução para a minha demanda. Sugiro também que a empresa faça escuta da ligação. Não podemos culpar a atendente pelo atendimento, talvez o treinamento que a empresa ofereça aos seus funcionários e/ou terceirizados não oriente sobre NPS, experiência do cliente entre outros aspectos importantes para a satisfação e fidelização dos seus clientes, mas se essa empresa vislumbra sustentabilidade e perenidade é de suma importância que revise a jornada do cliente.

Atenciosamente"
Linha Bloqueada Indevidamente,"Todos as minhas faturas estão pagas, mas minha linha foi bloqueada.
Em contato com a Claro, fui informado que há débitos em aberto (o que não é verdade) e que por causa disso minha linha foi bloqueda.

Fui orientado a retornar o contato daqui 24h porque a Claro está com problema no sistema. Ou seja, vou ficar 24h sem poder fazer ligações (afetando o meu trabalho) por uma cobrança indevida e por uma falha no sistema da empresa."
Cobrança indevida,"Olá, meu nome é Jefferson, neste ano precisei trocar o chip do meu celular, para fazer isso, precisei colocar um plano Pós, com a carência de 3 meses para passar o plano para Pré, assim eu fiz, passaram-se os 3 meses e cancelei o plano Pós e passei para Pré pago novamente, porém verifiquei que irão cobrar ainda a tarifa de R$ 49,99 no dia 12 de novembro, essa cobrança é indevida pois já estou com o plano pré pago a mais de um mês da transferência de plano. Solicito por gentileza o cancelamento deste débito futuro em minha conta, se não precisarei tomar as medidas cabíveis."
ATENDENTES DA CLARO SE NEGAM A TROCAR DDD CONTRARIANDO O QUE É INFORMADO PELA PROPRIA CLARO,"Comprei um chip da claro hoje.

Está informando na embalagem que para trocar o DDD basta ligar para o número 1052.

Primeira tentativa: O atendente inventou que eu preciso ficar 10 dias com o número para depois trocar o DDD

Segunda tentativa: O atendente disse para eu ligar de outro número porque não conseguiria trocar o DDD com a minha linha ocupada.

Terceira tentativa: Liguei de outro número mas a atendente inventou que só pode trocar o DDD dentro do mesmo Esrado.

Fora que entre estas tentativas liguei várias vezes até cair a ligação sem ser atendido.

Comprei um chip já pagando uma primeira recarga e perdi o dinheiro porque estou sendo enganado pela Claro.

Vale lembrar que além de estar escrito na embalagem que basta ligar no 1052 para trocar o DDD. Recebi um SMS da claro dizendo a mesma coisa.

No primeiro contato de um possível cliente a Claro já trata desta forma. Inacreditável.

Queria utilizar duas operadoras mas vou continuar só com a VIVO.
Também não é uma maravilha mas bem melhor que este descaso absoluto."
Ligação telemarketing,Diariamente venho recebendo ligações ds claro me oferecendo internet e plano de tv por assinatura e mesmo tendo informado no site naomeperturbe.com e informando nas ligaçoes que não quero receber contato insistem diariamente a ligar.
Cobrança de Movel indevida,"Estou sendo cobrado por uma empresa, em nome da Claro Movel S.A. Alguém usado meu CPF, comprou um celular na cidade de Águas Lindas no estado de Goias. Não moro nesta cidade e nunca estive nela. Não tenho chip da Claro. Estou com o nome negativado por desta cobrança indevida."
Ligações Sem Solicitação Durante o dia!,"Gostaria de Solicitar a Claro Brasil que pare de me ligar para oferecer serviços que nunca solicitei, estão sendo mais de 10 vezes no dia, já me cadastrei no site para não receber telemarketing mas a Claro Brasil ignora isso. Mais uma vez parem de me ligar, já morei do lado de pondo de Drogas que tinha mais respeito ao cidadão do que essa empresa!"
Não entregam o que prometem.,"Não aguento mais reclamar de vocês; contas erradas, processo, internet que não funciona...
Quanto aos documentos, basta olhar o processo e as outras reclamações..."
COBRANÇA INDEVIDA,"HOJE RECEBI POR E-MAIL UMA FATURA DA CLARO (""Minha Claro Residencial"") NO VALOR DE R$ 489,35 VENCIDA EM 28/10/2020 SENDO QUE NUNCA ADQUIRI QUALQUER PRODUTO OU SERVIÇO DA CLARO. TENTEI FALAR COM A EMPRESA SEM SUCESSO..."
Plano venceu e aumentaram sem avisar,"O plano do meu pós venceu de 43 reais subiu para 75. Não me avisaram que ia vencer e simplesmente aumentaram, quiseram renovar com aumento de mais 10 reais não quis, pois teria que pagar os 75 agora é no próximo vez viria 53. Não aceitei pedi para mudar para pré ok! Ok nada, disseram que viria mais uma conta em 16 de dezembro, detalhe liguei com mais de um mês de antecedia e vão cobrar 108 reais para finalizar. Um absurdo nunca mais faço planos com essa empresa [Editado pelo Reclame Aqui]. Detalhe pedi na ligação inteira meu contrato e ele desviava o assunto."
Aumento da fatura,"Tenho net em minha residência a muito tempo, pago um valor alto para pouca coisa, na última fatura cobraram 31 reais a mais do que o normal combinado, fora que cobram 10 reais todo mês para enviarem o boleto em casa e faz tempo que não recebo, estou pegando muito por pouca coisa. Fora essa aumento inesperado e sem justificativa.
Tentei contato por telefone mas eles enrolam e não resolvem!
Gostaria de abaixar o valor da fatura e ver possível ressarcimento desse valor a mais que tem sido cobrado."
